id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
39347,SHDN,heliport,"Daniel 1 Heliport",-52.364723205566406,-68.76499938964844,98,SA,Chile,CL,"Magallanes Region",CL-MA,MA,Magallanes,0,SHDN,,,,,,25,2008-07-12T07:27:33+00:00
39395,SHSB,heliport,"Cerro Sombrero Heliport",-52.766666412353516,-69.28888702392578,98,SA,Chile,CL,"Magallanes Region",CL-MA,MA,Magallanes,0,SHSB,,,,,,25,2008-07-12T07:28:18+00:00
39389,SHPP,heliport,"Papudo Heliport",-32.50027847290039,-71.45916748046875,82,SA,Chile,CL,"Valparaíso Region",CL-VS,VS,Papudo,0,SHPP,,,,,,25,2008-07-12T07:28:12+00:00
39386,SHNZ,heliport,"Nazareno Heliport",-33.65277862548828,-70.5272216796875,2822,SA,Chile,CL,"Santiago Metropolitan Region",CL-RM,RM,Pirque,0,SHNZ,,,,,,25,2008-07-12T07:28:09+00:00
39413,SHYA,heliport,"Sumaya Heliport",-33.676666259765625,-70.54722595214844,2244,SA,Chile,CL,"Santiago Metropolitan Region",CL-RM,RM,Pirque,0,SHYA,,,,,,25,2008-07-12T07:28:35+00:00
39398,SHSE,heliport,"Posesión Heliport",-52.249395,-68.936248,76,SA,Chile,CL,"Magallanes Region",CL-MA,MA,Posesion,0,SHSE,,,,,,25,2021-10-16T15:43:29+00:00
39399,SHSI,heliport,"Posesión 5 Heliport",-52.268333435058594,-69.07333374023438,98,SA,Chile,CL,"Magallanes Region",CL-MA,MA,Posesion,0,SHSI,,,,,,25,2008-07-12T07:28:21+00:00
39339,SHCB,heliport,"Caburga Heliport",-39.16694259643555,-71.76055908203125,1558,SA,Chile,CL,"Araucanía Region",CL-AR,AR,Pucon,0,SHCB,,,,,,25,2008-07-12T07:27:26+00:00
39388,SHPE,heliport,"Pelluco Heliport",-41.48555374145508,-72.90277862548828,66,SA,Chile,CL,"Los Lagos Region",CL-LL,LL,"Puerto Montt",0,SHPE,,,,,,25,2008-07-12T07:28:11+00:00
39369,SHHR,heliport,"Carabineros de Chile Heliport",-53.15638732910156,-70.92222595214844,213,SA,Chile,CL,"Magallanes Region",CL-MA,MA,"Punta Arenas",0,SHHR,,,,,,25,2008-07-12T07:27:53+00:00
39383,SHNC,heliport,"Catalina Norte 1 Heliport",-52.5636100769043,-68.67555236816406,98,SA,Chile,CL,"Magallanes Region",CL-MA,MA,"Punta Arenas",0,SHNC,,,,,,25,2008-07-12T07:28:06+00:00
39385,SHNO,heliport,"Catalina Norte 2 Heliport",-52.575279235839844,-69.66361236572266,30,SA,Chile,CL,"Magallanes Region",CL-MA,MA,"Punta Arenas",0,SHNO,,,,,,25,2008-07-12T07:28:08+00:00
39391,SHPU,heliport,"Punta Catalina Heliport",-52.545833587646484,-68.75833129882812,16,SA,Chile,CL,"Magallanes Region",CL-MA,MA,"Punta Catalina",0,SHPU,,,,,,25,2008-07-12T07:28:14+00:00
39400,SHSK,heliport,"Skua 1 Heliport",-52.4091682434082,-68.7852783203125,98,SA,Chile,CL,"Magallanes Region",CL-MA,MA,"Punta Catalina",0,SHSK,,,,,,25,2008-07-12T07:28:22+00:00
39406,SHSU,heliport,"Skua 4 Heliport",-52.375831604003906,-68.78861236572266,69,SA,Chile,CL,"Magallanes Region",CL-MA,MA,"Punta Catalina",0,SHSU,,,,,,25,2008-07-12T07:28:28+00:00
39344,SHCP,heliport,"Servicios Aéreos Copters Heliport",-34.136390686035156,-70.77055358886719,1509,SA,Chile,CL,"O'Higgins Region",CL-LI,LI,Rancagua,0,SHCP,,,,,,25,2008-07-12T07:27:30+00:00
39358,SHFE,heliport,"Hospital San Camilo Heliport",-32.74833297729492,-70.70999908447266,2155,SA,Chile,CL,"Valparaíso Region",CL-VS,VS,"San Felipe",0,SHFE,,,,,,25,2008-07-12T07:27:43+00:00
39329,SHAC,heliport,"Asociación Chilena de Seguridad Heliport",-33.44361114501953,-70.6322250366211,1969,SA,Chile,CL,"Santiago Metropolitan Region",CL-RM,RM,Santiago,0,SHAC,,,,,,25,2008-07-12T07:27:16+00:00
39331,SHAH,heliport,"Nazareno II Heliport",-33.400001525878906,-70.57389831542969,,SA,Chile,CL,"Santiago Metropolitan Region",CL-RM,RM,Santiago,0,SHAH,,,,,,25,2008-07-14T08:45:11+00:00
39332,SHAP,heliport,"Asistencia Pública Dr. Alejandro del Río Heliport",-33.439998626708984,-70.63722229003906,1886,SA,Chile,CL,"Santiago Metropolitan Region",CL-RM,RM,Santiago,0,SHAP,,,,,,25,2008-07-12T07:27:19+00:00
39334,SHBE,heliport,"Banco Exterior Heliport",-33.43611145019531,-70.6449966430664,2000,SA,Chile,CL,"Santiago Metropolitan Region",CL-RM,RM,Santiago,0,SHBE,,,,,,25,2008-07-12T07:27:21+00:00
39335,SHBL,heliport,"Hospital Ramón Barros Luco Heliport",-33.48527908325195,-70.64444732666016,1805,SA,Chile,CL,"Santiago Metropolitan Region",CL-RM,RM,Santiago,0,SHBL,,,,,,25,2008-07-12T07:27:22+00:00
39337,SHBS,heliport,"Banco Santander Heliport",-33.43611145019531,-70.6513900756836,2067,SA,Chile,CL,"Santiago Metropolitan Region",CL-RM,RM,Santiago,0,SHBS,,,,,,25,2008-07-12T07:27:24+00:00
39338,SHCA,heliport,"Prefectura Aeropolicial de Carabineros Heliport",-33.45527648925781,-70.54833221435547,2070,SA,Chile,CL,"Santiago Metropolitan Region",CL-RM,RM,Santiago,0,SHCA,,,,,,25,2008-07-12T07:27:25+00:00
39340,SHCC,heliport,"Clínica Las Condes Heliport",-33.385276794433594,-70.53083038330078,2461,SA,Chile,CL,"Santiago Metropolitan Region",CL-RM,RM,Santiago,0,SHCC,,,,,,25,2008-07-12T07:27:27+00:00
39343,SHCM,heliport,"Corporativo Mutual Heliport",-33.440277099609375,-70.63777923583984,2100,SA,Chile,CL,"Santiago Metropolitan Region",CL-RM,RM,Santiago,0,SHCM,,,,,,25,2008-07-12T07:27:29+00:00
39350,SHEC,heliport,"Edificio Itaú Helipad",-33.416555,-70.593563,2270,SA,Chile,CL,"Santiago Metropolitan Region",CL-RM,RM,Santiago,0,SHEC,,,,,"Edificio BankBoston",25,2021-10-15T15:09:40+00:00
39352,SHEH,heliport,"Edificio Huidobro Heliport",-33.40388870239258,-70.5727767944336,2470,SA,Chile,CL,"Santiago Metropolitan Region",CL-RM,RM,Santiago,0,SHEH,,,,,,25,2008-07-12T07:27:38+00:00
39353,SHEI,heliport,"Escuela de Investigaciones Policiales Heliport",-33.45944595336914,-70.71666717529297,1608,SA,Chile,CL,"Santiago Metropolitan Region",CL-RM,RM,Santiago,0,SHEI,,,,,,25,2008-07-12T07:27:39+00:00
39354,SHEM,heliport,"El Mercurio Heliport",-33.38111114501953,-70.59583282470703,2247,SA,Chile,CL,"Santiago Metropolitan Region",CL-RM,RM,Santiago,0,SHEM,,,,,,25,2008-07-12T07:27:40+00:00
39355,SHEQ,heliport,"El Conquistador Heliport",-33.37055587768555,-70.65055847167969,1670,SA,Chile,CL,"Santiago Metropolitan Region",CL-RM,RM,Santiago,0,SHEQ,,,,,,25,2008-07-12T07:27:40+00:00
39360,SHGA,heliport,"Gral. Humberto Arriagada Heliport",-33.4474983215332,-70.60694122314453,1903,SA,Chile,CL,"Santiago Metropolitan Region",CL-RM,RM,Santiago,0,SHGA,,,,,,25,2008-07-12T07:27:45+00:00
39361,SHGE,heliport,"Gertrudis Echeñique Heliport",-33.413612365722656,-70.5897216796875,2270,SA,Chile,CL,"Santiago Metropolitan Region",CL-RM,RM,Santiago,0,SHGE,,,,,,25,2008-07-12T07:27:46+00:00
39364,SHHF,heliport,"Hospital FACH Heliport",-33.397124,-70.545874,2574,SA,Chile,CL,"Santiago Metropolitan Region",CL-RM,RM,Santiago,0,SHHF,,,,,,25,2019-12-17T10:44:52+00:00
39365,SHHI,heliport,"Hospital de Carabineros Heliport",-33.417763,-70.528879,2426,SA,Chile,CL,"Santiago Metropolitan Region",CL-RM,RM,Santiago,0,SHHI,,,,,"DIPRECA, Hospital del Imponente",25,2019-12-17T11:44:00+00:00
